design_id,tangentiality,center_baffle_ratio,shield_ratio,shield_gap_ratio,outlet_submergence_ratio,flow_distribution,complexity,weighted_capture_proxy,head_loss_proxy_m,overload_sediment_risk_proxy,maintainability_proxy,feasible
669,0.30323696283631596,0.26793181032354646,0.4888368746209466,0.13076833106954505,0.4608455166420627,0.9792962693517426,0.8919541817867485,0.48659002498667475,0.06321897087582654,4.0,0.5111631253790534,True
660,0.41109641049308754,0.08140892713311998,0.44917130376785597,0.1788359340316287,0.2655289552350921,0.9807178993398562,0.8040914448249591,0.48388815854238576,0.06592685902000082,4.0,0.550828696232144,True
240,0.233923616619498,0.16910924798566565,0.434834638264832,0.1735612314718058,0.4066484747673836,0.9887592447262019,0.8747158872353776,0.48356186452748107,0.05703580308447985,4.0,0.565165361735168,True
455,0.38147385773450226,0.07790404599221407,0.497634357451136,0.12810505640554679,0.34280670823549575,0.9083657848394127,0.7110953493267407,0.48337413416873937,0.06208072176425294,4.0,0.5023656425488641,True
887,0.42249040856888476,0.061733454795793376,0.27200262895697036,0.09633297560752682,0.34603616157062744,0.9250662684967579,0.21202161825800903,0.4688841148839119,0.05720451370790274,4.0,0.7279973710430296,True
1596,0.295581700198706,0.3891971747983536,0.35601232273913996,0.09171101621190328,0.3664177563568664,0.9235551574201024,0.008839308928256684,0.46817715645368846,0.053325749503936155,4.0,0.64398767726086,True
1397,0.2724784503672978,0.34375218091698334,0.266073024110607,0.09742266414587003,0.43357939485156355,0.9613166352160942,0.3685239568784927,0.4627408409755926,0.05544206634821329,4.0,0.7339269758893929,True
416,0.42763233889678787,0.2406461335796951,0.3360495465583133,0.16418224237146964,0.44983357329665713,0.85419412537842,0.12715025860708462,0.4548809083433008,0.058914876072935086,4.0,0.6639504534416866,True
661,0.4376231831304662,0.1104000806171853,0.20283369800045636,0.19571763498853909,0.2635003833884598,0.9483660439085777,0.6287130662974464,0.45470120739718956,0.06555960924610985,4.0,0.7971663019995436,True
203,0.2448175026339673,0.23173212096781287,0.4447564283454201,0.14364700544383052,0.35406602627203254,0.8308785399539229,0.14048134858224448,0.4486553431662492,0.04687385765668465,4.0,0.5552435716545798,True
1585,0.09788552229777325,0.09012548253356845,0.35505960808648424,0.09961376112505768,0.33719889481970144,0.9607343716448933,0.5280580883244381,0.447759948707305,0.04588989200139351,4.0,0.6449403919135157,True
45,0.11147052255495393,0.11353673808982263,0.2155422052823411,0.11220662085307131,0.3334013748121444,0.9871002068759085,0.5811035982129712,0.4385798199853931,0.04728145515937775,4.0,0.784457794717659,True
1601,0.2772256383799747,0.14390921149182406,0.34056022683811177,0.07612079409858827,0.4073541902593111,0.8159720361222769,0.21477248880608868,0.43678530201686616,0.054721000786284335,4.0,0.6594397731618882,True
621,0.19423011750778307,0.4083357739987073,0.44834191029983306,0.18063955751331967,0.5611107273607877,0.9282957699776193,0.06350294284519997,0.432912306957986,0.04934625918288229,4.0,0.5516580897001669,True
1448,0.4194865494294986,0.41632781890275866,0.2840888499549885,0.13239966131243416,0.4326171552482741,0.7644965890935762,0.10800303401579237,0.42784573882847937,0.06395472419193532,4.0,0.7159111500450114,True
998,0.12923212073228207,0.15665896394870443,0.3868820225515053,0.16913277135535093,0.256539716078402,0.8830717884683181,0.3928060412016583,0.4243937422583329,0.04523538784778823,4.0,0.6131179774484947,True
1696,0.08300949920842438,0.11897396512848735,0.21326250383537917,0.19983115477778857,0.2744629383277845,0.9918538047982557,0.3928366296895035,0.4243687455312853,0.043732668969234466,4.0,0.7867374961646209,True
