design_id,tangentiality,center_baffle_ratio,shield_ratio,shield_gap_ratio,outlet_submergence_ratio,flow_distribution,complexity,weighted_capture_proxy,head_loss_proxy_m,overload_sediment_risk_proxy,maintainability_proxy,feasible
0,0.0,0.05,0.2,0.2,0.05,0.3,0.0,0.1525859450556277,0.036037550755379455,4.0,0.8000000000000002,True
1,0.3339410834966551,0.4499943153046311,0.36714628705448127,0.0751559701458012,0.3213005386134692,0.8477180734550669,0.024297537170607897,0.44947779502059937,0.06505338776410874,4.0,0.6328537129455187,True
2,0.862105627931578,0.10430683813752739,0.597758784236834,0.038748798422307405,0.18991109056807304,0.5480874170155341,0.9212462945130319,0.3738781102701529,0.16838169692871904,4.0,0.40224121576316596,False
3,0.16422793594034568,0.43621305618429507,0.6046830424804208,0.0894758201998871,0.11258261065383432,0.6511668981952161,0.8045459205851694,0.342454625032448,0.06291912662870644,4.0,0.3953169575195792,False
4,0.5202344796439802,0.1432285526317354,0.6299940208132655,0.043622953115472866,0.5123817175527523,0.48026874538296715,0.19560515436260562,0.3544381260521563,0.10402484163883628,4.0,0.3700059791867345,False
5,0.05871046316326245,0.14107895513003915,0.6010553786229418,0.13244725754807388,0.19763193376346194,0.3620063243412089,0.32910522731970915,0.2532419288651709,0.04265548800073363,4.0,0.3989446213770582,False
6,0.6123504724987697,0.1562055557617561,0.7920303409275373,0.1410592880570683,0.29574610935961837,0.851456417511185,0.9368673531136417,0.4981171483772102,0.0891927181438266,4.0,0.20796965907246268,False
7,0.9788603513152648,0.07987258248996568,0.5695878873218232,0.17365195941218045,0.2331825892274751,0.2934675606314139,0.6828235399969735,0.27634638741652606,0.14121633963652538,4.0,0.4304121126781768,False
8,0.7231481165600608,0.05424498718278428,0.519432952071593,0.08758611151201821,0.46556479323900846,0.248911571199963,0.6731111057805375,0.25196628029328594,0.10006853703402982,4.0,0.480567047928407,False
9,0.5842086725808536,0.3754137109748161,0.535616306217168,0.16184264134289647,0.5702081547640196,0.8089775547268061,0.16999873590828174,0.4339932937066765,0.07946526114366782,4.0,0.46438369378283195,False
10,0.4869446602254329,0.11304871980484875,0.5596100094960874,0.12728816799665413,0.379381662256213,0.9980550633834984,0.7114372051865628,0.517906363123881,0.07140631539815213,4.0,0.4403899905039126,False
11,0.047748377899320404,0.221901301429283,0.712029149796747,0.16964362489227344,0.6179994369813948,0.2949929758279697,0.4805804682072603,0.21534892728700655,0.04654570417527475,3.9753584293114264,0.28797085020325297,False
12,0.27209311750729626,0.21891084322085025,0.5336599686500187,0.04664625924645019,0.6178032922373903,0.4694888724450403,0.44959050711291904,0.29615024681573915,0.08644958524329026,4.0,0.4663400313499813,False
13,0.30875271768853896,0.36758249453278463,0.6823876437066445,0.052000073533776184,0.24948590016835015,0.5732738306870753,0.9941156270348598,0.37869129688146763,0.09559962530044898,4.0,0.31761235629335544,False
14,0.6452258702557846,0.2479271143536777,0.47833485409849513,0.1047192764883356,0.6977829117144241,0.5740662830487283,0.8784860524979858,0.32616437775028934,0.09422451347913732,4.0,0.5216651459015049,False
15,0.7173703310380503,0.20536496317227665,0.7978652971131781,0.09402580344420809,0.1371782017384413,0.6200303543638307,0.971295694293764,0.3871436205493824,0.1047777693247985,4.0,0.2021347028868219,False
16,0.4684215533552041,0.1593453001797963,0.6617410088661628,0.10910985722921278,0.48965788319032694,0.2844190477960357,0.8672339420396987,0.2659217024619287,0.07287480562459162,4.0,0.3382589911338372,False
17,0.5986940533497315,0.25006383529306947,0.28850936529163274,0.11205894031086845,0.5369945249445501,0.729871898483208,0.5392388888846309,0.40756802617789145,0.08307485317347592,4.0,0.7114906347083673,False
18,0.20071819825235226,0.13875373460394408,0.7983997233395368,0.1846387858272457,0.33527970556661335,0.5697437369419156,0.7390413902999279,0.3961269497614275,0.05291997593743669,4.0,0.2016002766604632,False
19,0.9575815902191461,0.40781999464446606,0.6835139052343596,0.192874689538946,0.6919513874341995,0.4603020644669468,0.28489093092387585,0.30456852283445596,0.1390396738189816,3.435999888170711,0.3164860947656404,False
20,0.6766961681796796,0.2588998424635517,0.631208990661202,0.1130024951762339,0.3683211725377102,0.6225508522380953,0.1369740305994046,0.4295216848775176,0.0864864244669817,4.0,0.36879100933879805,False
21,0.7112317018591139,0.09854187081959478,0.3259132912731836,0.042909152516411246,0.34995552973915856,0.2538596241014765,0.0915955092727162,0.24881520621632416,0.12574812090131587,4.0,0.45769762684172,False
22,0.05565515606128146,0.39582346284743986,0.6753859014469463,0.13839226282860403,0.6187198988439575,0.617737961344295,0.46542503221748255,0.33709864053065736,0.05198961657618964,3.698577804401333,0.3246140985530537,False
23,0.15798018930838809,0.3180091298698323,0.7333413114545446,0.17623320510313462,0.4058774579094081,0.8785541933926355,0.7514494138519149,0.4792095113272767,0.05589755831677488,4.0,0.2666586885454554,False
24,0.6569450808988869,0.3999434752856582,0.3273251828822311,0.11386112441263546,0.3179219528484446,0.9262660239794513,0.8896346979582448,0.4830230354349036,0.10104470668365802,4.0,0.6726748171177689,False
25,0.16742736005268888,0.11071958669501077,0.7988243955294476,0.16391413153795867,0.1503024134652751,0.2764693661289653,0.6530090355234281,0.22312525997415392,0.04995034350625595,4.0,0.20117560447055238,False
26,0.3973958303473124,0.3943089331900358,0.446799208782673,0.09125407959632958,0.3807586263666627,0.8616458771239395,0.9434625134249307,0.46906488255887974,0.075790026386545,4.0,0.553200791217327,False
27,0.2702592376002355,0.23343477554424602,0.3586827870198551,0.08032738783191509,0.20190660389267595,0.8666597997102443,0.6647071370476714,0.41827618104650216,0.06130251159976428,4.0,0.6413172129801449,True
