design,flow_lps,particle_um,settling_velocity_m_s,capture_proxy,head_loss_proxy_m,sediment_risk_proxy,maintainability_proxy,feasible,constraint_head_loss,constraint_minimum_gap,constraint_cleaning_access
generic_baseline,10,40,0.0013707169064044744,0.061192355597863735,0.000563086730552804,0.05621277773230915,0.8000000000000002,True,True,True,True
generic_baseline,10,63,0.0032522948607633163,0.1391397741460627,0.000563086730552804,0.05621277773230915,0.8000000000000002,True,True,True,True
generic_baseline,10,100,0.007531175913803783,0.2931507726704162,0.000563086730552804,0.05621277773230915,0.8000000000000002,True,True,True,True
generic_baseline,10,250,0.03184859602133508,0.7694219680430252,0.000563086730552804,0.05621277773230915,0.8000000000000002,True,True,True,True
generic_baseline,20,40,0.0013707169064044744,0.0298131533818925,0.002252346922211216,0.2248511109292366,0.8000000000000002,True,True,True,True
generic_baseline,20,63,0.0032522948607633163,0.06929549728174822,0.002252346922211216,0.2248511109292366,0.8000000000000002,True,True,True,True
generic_baseline,20,100,0.007531175913803783,0.15320343826117921,0.002252346922211216,0.2248511109292366,0.8000000000000002,True,True,True,True
generic_baseline,20,250,0.03184859602133508,0.505023116117089,0.002252346922211216,0.2248511109292366,0.8000000000000002,True,True,True,True
generic_baseline,40,40,0.0013707169064044744,0.013596760445750311,0.009009387688844864,0.8994044437169464,0.8000000000000002,True,True,True,True
generic_baseline,40,63,0.0032522948607633163,0.03196042905396024,0.009009387688844864,0.8994044437169464,0.8000000000000002,True,True,True,True
generic_baseline,40,100,0.007531175913803783,0.07245842654924473,0.009009387688844864,0.8994044437169464,0.8000000000000002,True,True,True,True
generic_baseline,40,250,0.03184859602133508,0.27246126280132177,0.009009387688844864,0.8994044437169464,0.8000000000000002,True,True,True,True
generic_baseline,80,40,0.0013707169064044744,0.00549124139678725,0.036037550755379455,3.5976177748677856,0.8000000000000002,True,True,True,True
generic_baseline,80,63,0.0032522948607633163,0.012979976165828355,0.036037550755379455,3.5976177748677856,0.8000000000000002,True,True,True,True
generic_baseline,80,100,0.007531175913803783,0.029800786458424322,0.036037550755379455,3.5976177748677856,0.8000000000000002,True,True,True,True
generic_baseline,80,250,0.03184859602133508,0.12009430953587519,0.036037550755379455,3.5976177748677856,0.8000000000000002,True,True,True,True
generic_baseline,120,40,0.0013707169064044744,0.002969174322351442,0.08108448919960377,4.0,0.8000000000000002,True,True,True,True
generic_baseline,120,63,0.0032522948607633163,0.007030597261118321,0.08108448919960377,4.0,0.8000000000000002,True,True,True,True
generic_baseline,120,100,0.007531175913803783,0.01620516158433405,0.08108448919960377,4.0,0.8000000000000002,True,True,True,True
generic_baseline,120,250,0.03184859602133508,0.06675858838355431,0.08108448919960377,4.0,0.8000000000000002,True,True,True,True
screened_candidate,10,40,0.0013707169064044744,0.33977226791976956,0.0008332148359990024,0.038243851373154565,0.64398767726086,True,True,True,True
screened_candidate,10,63,0.0032522948607633163,0.6265881752197127,0.0008332148359990024,0.038243851373154565,0.64398767726086,True,True,True,True
screened_candidate,10,100,0.007531175913803783,0.8978267081403103,0.0008332148359990024,0.038243851373154565,0.64398767726086,True,True,True,True
screened_candidate,10,250,0.03184859602133508,0.995,0.0008332148359990024,0.038243851373154565,0.64398767726086,True,True,True,True
screened_candidate,20,40,0.0013707169064044744,0.17814400900677652,0.0033328593439960097,0.15297540549261826,0.64398767726086,True,True,True,True
screened_candidate,20,63,0.0032522948607633163,0.37217856797461646,0.0033328593439960097,0.15297540549261826,0.64398767726086,True,True,True,True
screened_candidate,20,100,0.007531175913803783,0.6597020809336845,0.0033328593439960097,0.15297540549261826,0.64398767726086,True,True,True,True
screened_candidate,20,250,0.03184859602133508,0.989521976204163,0.0033328593439960097,0.15297540549261826,0.64398767726086,True,True,True,True
screened_candidate,40,40,0.0013707169064044744,0.08245486342348685,0.013331437375984039,0.611901621970473,0.64398767726086,True,True,True,True
screened_candidate,40,63,0.0032522948607633163,0.1846834437957745,0.013331437375984039,0.611901621970473,0.64398767726086,True,True,True,True
screened_candidate,40,100,0.007531175913803783,0.3767494423301223,0.013331437375984039,0.611901621970473,0.64398767726086,True,True,True,True
screened_candidate,40,250,0.03184859602133508,0.864590597875372,0.013331437375984039,0.611901621970473,0.64398767726086,True,True,True,True
screened_candidate,80,40,0.0013707169064044744,0.03224075977682872,0.053325749503936155,2.447606487881892,0.64398767726086,True,True,True,True
screened_candidate,80,63,0.0032522948607633163,0.07481157771041991,0.053325749503936155,2.447606487881892,0.64398767726086,True,True,True,True
screened_candidate,80,100,0.007531175913803783,0.16477988483253359,0.053325749503936155,2.447606487881892,0.64398767726086,True,True,True,True
screened_candidate,80,250,0.03184859602133508,0.5330139011747799,0.053325749503936155,2.447606487881892,0.64398767726086,True,True,True,True
screened_candidate,120,40,0.0013707169064044744,0.016848272984888002,0.11998293638385635,4.0,0.64398767726086,True,True,True,True
screened_candidate,120,63,0.0032522948607633163,0.03951453247183945,0.11998293638385635,4.0,0.64398767726086,True,True,True,True
screened_candidate,120,100,0.007531175913803783,0.08913330964981525,0.11998293638385635,4.0,0.64398767726086,True,True,True,True
screened_candidate,120,250,0.03184859602133508,0.32618844028416794,0.11998293638385635,4.0,0.64398767726086,True,True,True,True
